,net_acc_mean,net_acc_std,net_acc_min,net_acc_max,ACC_x_mean,ACC_x_std,ACC_x_min,ACC_x_max,ACC_y_mean,ACC_y_std,ACC_y_min,ACC_y_max,ACC_z_mean,ACC_z_std,ACC_z_min,ACC_z_max,BVP_mean,BVP_std,BVP_min,BVP_max,EDA_mean,EDA_std,EDA_min,EDA_max,EDA_phasic_mean,EDA_phasic_std,EDA_phasic_min,EDA_phasic_max,EDA_smna_mean,EDA_smna_std,EDA_smna_min,EDA_smna_max,EDA_tonic_mean,EDA_tonic_std,EDA_tonic_min,EDA_tonic_max,Resp_mean,Resp_std,Resp_min,Resp_max,TEMP_mean,TEMP_std,TEMP_min,TEMP_max,BVP_peak_freq,TEMP_slope,0,1,2
0,0.019370574732988907,0.0048494177365968364,0.004128321146935048,0.042659318518328826,-0.019370565562631933,0.004849415440800679,-0.04265929832268786,-0.00412831919251818,-1.3327979597024166e-05,3.3366558061252467e-06,-2.935186666748515e-05,-2.8405032258856597e-06,-1.3327979597024166e-05,3.3366558061252467e-06,-2.935186666748515e-05,-2.8405032258856597e-06,-1.48795814479638,48.3478113074181,-210.57,170.49,0.29144780391473324,0.005220054578614706,0.2844961271749012,0.3127311999255963,1.3124480540272814,1.6587706387338785,0.25740457884549006,8.212351416661281,0.4933324659146434,0.9236046148183196,4.368135964311026e-08,4.427639384050171,-2.218745715807331,1.5615666641594372,-8.262866458223742,-1.3466695581932462,0.17006319964344335,6.401071771540677,-16.09344482421875,26.89056396484375,32.02171171171176,0.017025358610284477,31.99,32.05,0.15837104072398192,5.414180414178857e-05,0,1,0
0,0.029441530110099,0.005520791080788581,0.015825231063251018,0.04472347909179635,-0.0294415161719821,0.005520788467152965,-0.04472345791894695,-0.01582522357131969,-2.025732937827134e-05,3.7985961644634333e-06,-3.0772118280427976e-05,-1.088859569922836e-05,-2.025732937827134e-05,3.7985961644634333e-06,-3.0772118280427976e-05,-1.088859569922836e-05,0.7376936122102917,42.89126047847523,-117.63,161.67,0.28727428034514035,0.0021624084788528213,0.2822857724600413,0.29411908373461515,0.4580659506438735,0.11584612124822266,0.25362069543700927,0.6745135288537331,0.3281163428277665,0.6046085533485914,7.59551795153974e-08,2.662022706627672,-1.5301185184670818,0.1277565757147106,-1.7346954994787664,-1.3842158473298147,0.016553825629693722,2.8268096403180625,-5.303955078125,5.73883056640625,32.074363636363685,0.014367088192830186,32.05,32.09,0.1492368569813454,0.0002079210152604973,0,1,0
0,0.03152281418756946,0.002930294503988743,0.023393819832631935,0.03853099737139378,-0.03152279926413774,0.0029302931167379045,-0.03853097913016968,-0.02339380875760302,-2.168936286733955e-05,2.0161975522555006e-06,-2.651136344159949e-05,-1.6096184946685404e-05,-2.168936286733955e-05,2.0161975522555006e-06,-2.651136344159949e-05,-1.6096184946685404e-05,0.5826696832579186,30.815797578991095,-83.84,61.43,0.28720830913606166,0.0012900674291231528,0.2831120231595552,0.29059374707256086,0.3145479043234354,0.056544288923725025,0.19182746515401716,0.448431446121561,0.24105560120639621,0.451017793557959,1.0232774417530247e-07,1.8978321527117534,-1.3888291687985352,0.02912968336989601,-1.432060671475446,-1.3475819571008048,0.10190493489953568,2.2688108088961036,-4.2724609375,4.45098876953125,32.092162162162204,0.013517116636764434,32.07,32.13,0.14027149321266968,-6.563706563705719e-05,0,1,0
0,0.031529955577015066,0.006898543078885579,0.0,0.05022790728770975,-0.031522166037787104,0.006933978457061836,-0.050227883508971186,0.0034402659937651497,-2.168892717392366e-05,4.7709460574659994e-06,-3.455945591494219e-05,2.3670860215713828e-06,-2.168892717392366e-05,4.7709460574659994e-06,-3.455945591494219e-05,2.3670860215713828e-06,0.6131543244771054,36.664160354403656,-155.15,174.4,0.28559110092750933,0.0018430375657262994,0.28058383021202415,0.29134099100762567,0.49441556788857316,0.20754560459163776,0.21304870635881074,0.9637880947602203,0.39686421633580055,0.747730402550936,3.835165837583833e-08,3.1164256189533965,-1.632549763951314,0.2210528793629564,-2.0066406657314233,-1.4128271709811373,0.4190817224924545,2.7171812862001468,-3.90472412109375,7.83233642578125,32.0885454545455,0.01197242009683953,32.07,32.11,0.14471452798191067,-0.0001774451682708687,0,1,0
0,0.026690094353233385,0.008404127144853455,0.0,0.053668174910155624,-0.0266838549919119,0.00842387268780482,-0.05366814950273634,0.00275221279501212,-1.8359911782246945e-05,5.796072548732428e-06,-3.6926541936513574e-05,1.8936688172571063e-06,-1.8359911782246945e-05,5.796072548732428e-06,-3.6926541936513574e-05,1.8936688172571063e-06,-1.5721210407239812,50.8079717539265,-240.0,254.02,0.282139326064565,0.0018088495592387998,0.2790002139993498,0.2878081945285665,0.34398753126723397,0.2233574518960688,0.07402763926306308,0.7267167105006296,0.24061952661297084,0.48942405833628205,9.910332585654262e-08,2.16609359335795,-1.6190632451884872,0.21328011158153248,-2.0065932564874203,-1.3936785890958556,-0.2578743240095335,5.346260041315304,-13.54217529296875,14.16778564453125,32.10207207207211,0.01115954058897284,32.09,32.13,0.15384615384615385,0.00012390312390310286,0,1,0
0,0.03038565785354394,0.0032921412997436745,0.016513284587740193,0.04472347909179635,-0.03038564346846115,0.0032921397411884517,-0.04472345791894695,-0.01651327677007272,-2.0906939184643812e-05,2.2651672796666856e-06,-3.0772118280427976e-05,-1.1362012903542639e-05,-2.0906939184643812e-05,2.2651672796666856e-06,-3.0772118280427976e-05,-1.1362012903542639e-05,2.5042760180995436,55.556060747573405,-156.15,256.61,0.2829640321143793,0.010294329956893647,0.27598993606898037,0.3469285742013322,2.0546379735527025,2.3650602218416323,0.1211353624941261,6.979483723277488,2.0605460826460686,4.8776468396586115,1.1501327268862809e-08,40.07185707904321,-3.296876221431072,2.1916042174557204,-7.817064665148507,-1.5085971203374,0.18271654397449527,3.297305128483441,-6.43157958984375,9.49249267578125,32.101818181818224,0.017330048427871943,32.07,32.13,0.13574660633484165,-0.00026373329125623505,0,1,0
0,0.025232261489694725,0.005111071228788293,0.0027522140979566985,0.039219050895882956,-0.025226022818535882,0.005141713157784508,-0.03921903232892271,0.00275221279501212,-1.7356845692110512e-05,3.537772185284159e-06,-2.6984780645913764e-05,1.8936688172571063e-06,-1.7356845692110512e-05,3.537772185284159e-06,-2.6984780645913764e-05,1.8936688172571063e-06,-1.6407461842849087,38.211009621724145,-149.98,103.78,0.27784128614406267,0.011095108793123924,0.2575589499142786,0.330991600794608,3.820607552576292,1.844142849406151,1.7420518429329122,7.127862228957341,2.623583284904391,3.908078885460261,1.8462274045145283e-08,31.98987900640566,-5.265458010682149,1.5529201560861114,-7.881880838021594,-3.6743572741237207,-0.1737725363683952,3.4918992733949574,-8.89129638671875,6.19049072265625,32.07918918918924,0.013631913743696647,32.05,32.11,0.14471452798191067,-0.00027132327132329447,0,1,0
0,0.02053108129974605,0.0016972840708286798,0.016513284587740193,0.025457980406099465,-0.020531071579985658,0.0016972832673057712,-0.02545796835386211,-0.01651327677007272,-1.412646947443675e-05,1.1678211812597314e-06,-1.7516436559628233e-05,-1.1362012903542639e-05,-1.412646947443675e-05,1.1678211812597314e-06,-1.7516436559628233e-05,-1.1362012903542639e-05,-0.18346719457013497,26.850572125047247,-62.59,41.53,0.2687944314896362,0.0020894875187522917,0.2635373550957177,0.272008563766058,0.7323967270253648,0.6037240644718579,0.16224798391314382,2.158159116448512,0.4178404132585621,0.8533450065022368,8.119587392345952e-08,4.64719403353017,-2.5363923343962753,0.6743453679637259,-4.049990882823476,-1.948295529331727,0.18166139815859755,2.46613796321489,-4.63714599609375,5.29937744140625,32.09509090909094,0.024186602397551188,32.05,32.13,0.14479638009049775,0.0006520749273043059,0,1,0
0,0.021271349638445233,0.00045478513825883714,0.01926549868569689,0.022705766308142764,-0.021271339568229068,0.00045478492295588204,-0.022705755558849988,-0.01926548956508484,-1.4635813231682022e-05,3.129162209844463e-07,-1.5622767742371126e-05,-1.3255681720799745e-05,-1.4635813231682022e-05,3.129162209844463e-07,-1.5622767742371126e-05,-1.3255681720799745e-05,0.26951950254380946,24.464302070583976,-57.35,40.97,0.269610826588911,0.0011763578126965453,0.26505958719512185,0.2726329789960386,0.37239668083662464,0.14386093630377353,0.12340323922747523,0.5949397289355974,0.26298818405864105,0.590200105883232,6.771944604916688e-08,3.4103992693197664,-2.143973265645597,0.1351254651459855,-2.3175738050297827,-1.9157606820160984,0.06374508626285254,2.8393722261587357,-6.8878173828125,6.10198974609375,32.16468468468465,0.020569364950093403,32.13,32.21,0.1492368569813454,0.0005111442611442584,0,1,0
0,0.021589625183575774,0.0004438182529320028,0.01926549868569689,0.023393819832631935,-0.021589614962682753,0.00044381804282095686,-0.02339380875760302,-0.01926548956508484,-1.4854803634920195e-05,3.0537042402726667e-07,-1.6096184946685404e-05,-1.3255681720799745e-05,-1.4854803634920195e-05,3.0537042402726667e-07,-1.6096184946685404e-05,-1.3255681720799745e-05,-0.08764705882352958,24.637634503809544,-59.61,35.5,0.2682800727596963,0.0010260976581189505,0.26498152963304916,0.2707801511418833,0.2032123797967493,0.08288089197873043,0.08528386868715672,0.36687553732127715,0.15632538684705544,0.3877242763150249,1.04352719957711e-07,2.6527464349574363,-2.0270413852091456,0.0889616496943911,-2.1699663491785177,-1.9046169329540314,-0.10846172562122763,2.270062551699937,-4.23431396484375,4.13665771484375,32.2228828828829,0.016624490096488417,32.18,32.25,0.15384615384615385,0.000332221832221821,0,1,0
