,net_acc_mean,net_acc_std,net_acc_min,net_acc_max,ACC_x_mean,ACC_x_std,ACC_x_min,ACC_x_max,ACC_y_mean,ACC_y_std,ACC_y_min,ACC_y_max,ACC_z_mean,ACC_z_std,ACC_z_min,ACC_z_max,BVP_mean,BVP_std,BVP_min,BVP_max,EDA_mean,EDA_std,EDA_min,EDA_max,EDA_phasic_mean,EDA_phasic_std,EDA_phasic_min,EDA_phasic_max,EDA_smna_mean,EDA_smna_std,EDA_smna_min,EDA_smna_max,EDA_tonic_mean,EDA_tonic_std,EDA_tonic_min,EDA_tonic_max,TEMP_mean,TEMP_std,TEMP_min,TEMP_max,BVP_peak_freq,TEMP_slope,0,1,2
0,0.030395776,0.008623971,0.001376107,0.088070851,-0.03016226,0.009408148,-0.088070809,0.011008851,-2.08E-05,6.47E-06,-6.06E-05,7.57E-06,-2.08E-05,6.47E-06,-6.06E-05,7.57E-06,0.414663652,80.17996972,-357.28,327.54,0.208902773,0.006453413,0.19790038,0.224814225,0.003572487,0.005310829,4.33E-05,0.02184541,0.001815904,0.009187426,2.37E-08,0.079305211,-0.389760132,0.006431518,-0.402545867,-0.382402725,32.71218182,0.062542812,32.61,32.81,0.167326173,0.0018556,0,1,0
0,0.036083893,0.010239331,0.008944696,0.051604014,-0.036083876,0.010239326,-0.05160399,-0.008944692,-2.48E-05,7.05E-06,-3.55E-05,-6.15E-06,-2.48E-05,7.05E-06,-3.55E-05,-6.15E-06,-1.628105204,68.79122512,-467.49,160.9,0.194622546,0.003545643,0.188505872,0.20598724,0.002100223,0.002144477,3.84E-06,0.009085317,0.000948272,0.005074821,1.97E-08,0.043819184,-0.408809473,0.002470111,-0.414124217,-0.40279051,32.82468468,0.011135514,32.81,32.84,0.135746606,0.000143647,0,1,0
0,0.03246305,0.009721434,0.017201338,0.044723479,-0.032463035,0.00972143,-0.044723458,-0.01720133,-2.23E-05,6.69E-06,-3.08E-05,-1.18E-05,-2.23E-05,6.69E-06,-3.08E-05,-1.18E-05,1.190378959,48.23118579,-156.03,219.12,0.183747456,0.003261811,0.177470143,0.190400694,0.000528491,0.000578696,6.82E-07,0.001966638,0.0004082,0.002064037,1.77E-08,0.017322594,-0.42317585,0.004007207,-0.426974191,-0.414319869,32.88336364,0.02154392,32.84,32.93,0.122171946,0.000581701,0,1,0
0,0.023030745,0.001648568,0.019953552,0.028210195,-0.023030734,0.001648567,-0.028210181,-0.019953543,-1.58E-05,1.13E-06,-1.94E-05,-1.37E-05,-1.58E-05,1.13E-06,-1.94E-05,-1.37E-05,-1.219446015,40.95337953,-106.65,119.13,0.178295577,0.00169518,0.175431685,0.181907176,5.80E-05,0.000160523,6.68E-08,0.000636225,6.26E-05,0.000653989,4.27E-08,0.006921647,-0.43067398,0.002212109,-0.434792242,-0.42699164,32.89666667,0.012105641,32.87,32.91,0.131147541,-0.000147596,0,1,0
0,0.022406883,0.001532465,0.017201338,0.028210195,-0.022406873,0.001532464,-0.028210181,-0.01720133,-1.54E-05,1.05E-06,-1.94E-05,-1.18E-05,-1.54E-05,1.05E-06,-1.94E-05,-1.18E-05,-0.186708145,39.66578167,-114.8,103.91,0.170672385,0.002391247,0.166179008,0.177383325,0.000338735,0.000435743,1.65E-06,0.001618154,0.000241146,0.001608815,2.24E-08,0.01279748,-0.44188144,0.003223185,-0.445973782,-0.434918871,32.89727273,0.01445426,32.87,32.93,0.135746606,0.000197642,0,1,0
0,0.022213855,0.001467297,0.017889392,0.026834087,-0.022213844,0.001467296,-0.026834075,-0.017889383,-1.53E-05,1.01E-06,-1.85E-05,-1.23E-05,-1.53E-05,1.01E-06,-1.85E-05,-1.23E-05,0.011876767,37.58428258,-106.34,71.99,0.163031218,0.002344349,0.159160161,0.168178428,8.24E-07,1.66E-06,7.54E-08,9.08E-06,1.07E-07,8.75E-08,3.98E-08,6.05E-07,-0.452637499,0.003213831,-0.457448144,-0.446109383,32.89792793,0.011159541,32.89,32.93,0.122102883,0.000159705,0,1,0
0,0.020929592,0.001172977,0.015825231,0.028210195,-0.020929582,0.001172977,-0.028210181,-0.015825224,-1.44E-05,8.07E-07,-1.94E-05,-1.09E-05,-1.44E-05,8.07E-07,-1.94E-05,-1.09E-05,0.284196833,39.76155565,-131.64,86.64,0.15739508,0.001649901,0.152033265,0.160917914,0.000131478,0.000264791,6.95E-08,0.001020698,0.000101425,0.000997904,2.48E-08,0.010500579,-0.460939127,0.001906163,-0.463120677,-0.457506321,32.89090909,0.011563694,32.87,32.91,0.126696833,-6.52E-05,0,1,0
0,0.022193419,0.001475581,0.018577445,0.02545798,-0.022193409,0.00147558,-0.025457968,-0.018577436,-1.53E-05,1.02E-06,-1.75E-05,-1.28E-05,-1.53E-05,1.02E-06,-1.75E-05,-1.28E-05,0.153329565,36.61619407,-113.91,69.53,0.154045072,0.001916943,0.147414323,0.157157739,1.08E-06,1.36E-06,8.07E-08,4.94E-06,5.42E-07,3.70E-06,2.90E-08,3.85E-05,-0.465659423,0.00217192,-0.469487493,-0.462065699,32.89126126,0.011787695,32.87,32.91,0.122102883,-8.07E-05,0,1,0
0,0.022934599,0.000843396,0.020641606,0.02545798,-0.022934588,0.000843395,-0.025457968,-0.020641596,-1.58E-05,5.80E-07,-1.75E-05,-1.42E-05,-1.58E-05,5.80E-07,-1.75E-05,-1.42E-05,-0.229451357,35.56886193,-118.22,61.85,0.149129075,0.001567211,0.144442306,0.152531908,1.13E-05,2.24E-05,8.47E-08,8.66E-05,8.68E-06,8.91E-05,3.91E-08,0.000938514,-0.472866871,0.001761932,-0.47551404,-0.469579864,32.89581818,0.013030162,32.87,32.91,0.122171946,4.33E-05,0,1,0
0,0.02312607,0.000494246,0.022017713,0.026146034,-0.02312606,0.000494246,-0.026146022,-0.022017702,-1.59E-05,3.40E-07,-1.80E-05,-1.51E-05,-1.59E-05,3.40E-07,-1.80E-05,-1.51E-05,0.167850679,33.02006007,-80.09,64.38,0.145543403,0.001666519,0.141137942,0.149012266,7.64E-05,0.000162397,9.15E-08,0.000624254,6.22E-05,0.000642152,3.32E-08,0.006796614,-0.478151504,0.002151818,-0.481578417,-0.475523841,32.90009009,0.009999594,32.89,32.91,0.122171946,-3.16E-05,0,1,0
