,net_acc_mean,net_acc_std,net_acc_min,net_acc_max,ACC_x_mean,ACC_x_std,ACC_x_min,ACC_x_max,ACC_y_mean,ACC_y_std,ACC_y_min,ACC_y_max,ACC_z_mean,ACC_z_std,ACC_z_min,ACC_z_max,BVP_mean,BVP_std,BVP_min,BVP_max,EDA_mean,EDA_std,EDA_min,EDA_max,EDA_phasic_mean,EDA_phasic_std,EDA_phasic_min,EDA_phasic_max,EDA_smna_mean,EDA_smna_std,EDA_smna_min,EDA_smna_max,EDA_tonic_mean,EDA_tonic_std,EDA_tonic_min,EDA_tonic_max,TEMP_mean,TEMP_std,TEMP_min,TEMP_max,BVP_peak_freq,TEMP_slope,0,1,2
0,0.022323601,0.015180742,0,0.056420389,0.01634749,0.021483877,-0.019953543,0.056420362,1.12E-05,1.48E-05,-1.37E-05,3.88E-05,1.12E-05,1.48E-05,-1.37E-05,3.88E-05,-0.173846154,37.90370691,-145.76,137.48,2.690754291,0.182949808,2.445387495,3.01865942,0.040162152,0.034178446,0.008649243,0.149932208,0.021322776,0.058716112,2.11E-08,0.378266306,-0.296937889,0.050412217,-0.360747769,-0.22771458,31.38495495,0.048059158,31.31,31.47,0.140271493,0.001443313,0,1,0
0,0.018142352,0.01634583,0,0.059860657,0.01773138,0.016790733,-0.010320798,0.059860628,1.22E-05,1.16E-05,-7.10E-06,4.12E-05,1.22E-05,1.16E-05,-7.10E-06,4.12E-05,0.182911249,54.85401826,-224.11,265.23,2.418352768,0.074626151,2.328615442,2.653983186,0.023228106,0.025807519,0.000387273,0.106743887,0.018957575,0.072512132,2.45E-08,0.58028116,-0.385646822,0.008992497,-0.399048299,-0.361308151,31.50454545,0.033995624,31.45,31.57,0.122102883,0.001022834,0,1,0
0,0.040012959,0.002677158,0.031650462,0.052980121,0.04001294,0.002677157,0.031650447,0.052980096,2.75E-05,1.84E-06,2.18E-05,3.65E-05,2.75E-05,1.84E-06,2.18E-05,3.65E-05,-0.359383484,32.95041666,-100.98,230.23,2.23470832,0.093122976,2.087766062,2.416922979,0.007306012,0.008318529,0.000155999,0.031240202,0.004270036,0.026428308,3.29E-08,0.245004548,-0.4408328,0.030630074,-0.488670003,-0.399731646,31.60531532,0.022613869,31.57,31.65,0.140271493,0.000591787,0,1,0
0,0.03877823,0.004655918,0.030962409,0.047475693,0.038778212,0.004655916,0.030962394,0.047475671,2.67E-05,3.20E-06,2.13E-05,3.27E-05,2.67E-05,3.20E-06,2.13E-05,3.27E-05,0.287687959,19.36448973,-75.9,60.66,1.956565,0.100072746,1.782087384,2.11525746,0.003133647,0.002914136,5.71E-05,0.010294234,0.00253421,0.010312114,3.01E-08,0.086297894,-0.544488634,0.038764425,-0.619070465,-0.488939962,31.68927273,0.028784753,31.65,31.75,0.149236857,0.000786601,0,1,0
0,0.032757263,0.012492054,0,0.045411533,0.029435289,0.019043431,-0.019953543,0.045411511,2.03E-05,1.31E-05,-1.37E-05,3.12E-05,2.03E-05,1.31E-05,-1.37E-05,3.12E-05,-0.141493213,51.99113171,-335.97,205.38,1.766136968,0.064394162,1.658080941,1.895668737,0.021357804,0.022459897,0.001929662,0.080589289,0.016144092,0.049698552,2.02E-08,0.346549063,-0.636338569,0.014042112,-0.657747526,-0.615153862,31.81936937,0.048309798,31.73,31.91,0.085972851,0.001467181,0,1,0
0,0.036143825,0.001307493,0.033714623,0.039907104,0.036143808,0.001307493,0.033714607,0.039907086,2.49E-05,9.00E-07,2.32E-05,2.75E-05,2.49E-05,9.00E-07,2.32E-05,2.75E-05,-0.087104072,17.1993045,-49.26,52.21,1.52563738,0.071879295,1.414991633,1.665067568,0.002995789,0.002285874,1.44E-05,0.006643863,0.002091001,0.006841408,3.67E-08,0.056538209,-0.711525204,0.027005184,-0.753451565,-0.659093454,31.96672727,0.040002479,31.89,32.05,0.135746606,0.001163853,0,1,0
0,0.039985717,0.003419929,0.029586302,0.045411533,0.039985698,0.003419927,0.029586288,0.045411511,2.75E-05,2.35E-06,2.04E-05,3.12E-05,2.75E-05,2.35E-06,2.04E-05,3.12E-05,-0.087682306,29.24500371,-94.15,166.46,1.341785475,0.047143537,1.249927804,1.413741175,0.000811837,0.001370023,9.99E-07,0.005250414,0.000553109,0.005389636,3.39E-08,0.056937164,-0.780233049,0.017498363,-0.814159696,-0.75400654,32.0709009,0.026012802,32,32.11,0.140192199,0.000616181,0,1,0
0,0.038522436,0.002351236,0.033026569,0.044723479,0.038522417,0.002351235,0.033026554,0.044723458,2.65E-05,1.62E-06,2.27E-05,3.08E-05,2.65E-05,1.62E-06,2.27E-05,3.08E-05,-0.234756787,26.68662441,-118.9,70.27,1.142487073,0.060392703,1.046905534,1.250292661,0.000362262,0.000729885,3.31E-07,0.002815982,0.000279435,0.002892805,2.60E-08,0.030480702,-0.857163251,0.023245988,-0.894022301,-0.814883175,32.14836364,0.037815996,32.07,32.23,0.140271493,0.001101729,0,1,0
0,0.03762059,0.000328374,0.036466837,0.038530997,0.037620572,0.000328374,0.03646682,0.038530979,2.59E-05,2.26E-07,2.51E-05,2.65E-05,2.59E-05,2.26E-07,2.51E-05,2.65E-05,0.243945732,19.39719066,-52.63,39.82,0.995714195,0.025632603,0.947867123,1.045679559,0.001133597,0.001572507,8.57E-06,0.006363615,0.000871625,0.006687827,3.80E-08,0.069124532,-0.914985289,0.009239897,-0.932199664,-0.894697278,32.25234234,0.024712945,32.21,32.29,0.131147541,0.00069814,0,1,0
0,0.036430255,0.000217706,0.035778783,0.03715489,0.036430238,0.000217706,0.035778766,0.037154873,2.51E-05,1.50E-07,2.46E-05,2.56E-05,2.51E-05,1.50E-07,2.46E-05,2.56E-05,0.071176471,19.51967457,-63.33,47.93,0.90710369,0.021863755,0.868873466,0.947981528,2.06E-05,4.00E-05,2.03E-07,0.000155857,1.54E-05,0.000158623,6.43E-08,0.001679067,-0.947952332,0.008437114,-0.962896491,-0.93256012,32.36801802,0.045635055,32.29,32.45,0.140271493,0.001366795,0,1,0
